date,index_level,divisor,notes
2023-11-22,1406.542653137918,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-11-23,1401.762495302518,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-11-24,1417.151446824502,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-11-25,1420.5261180007515,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-11-26,1408.1134911687336,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-11-27,1400.0037579857196,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-11-28,1421.7474633596391,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-11-29,1423.1491920330702,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-11-30,1417.4257797820367,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-01,1453.9646749342353,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-02,1483.543780533634,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-03,1502.2585494175123,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-04,1577.7790304396842,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-05,1656.5501691093575,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-06,1644.5584366779403,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-07,1626.8959037955656,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-08,1660.2593010146563,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-09,1642.6005261180007,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-10,1645.5467869222098,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-11,1549.6730552423903,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-12,1558.4329199549043,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-13,1611.7662532882375,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-14,1616.5388951521984,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-15,1576.2232243517476,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-16,1587.053739195791,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-17,1553.7128898910187,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-18,1602.6343479894776,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-19,1588.3878241262682,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-20,1639.609169485156,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-21,1648.6020293122888,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-22,1653.4009770762873,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-23,1644.1225103344607,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-24,1616.4937993235626,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-25,1638.6358511837655,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-26,1597.8617061255168,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-27,1633.5249906050358,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-28,1601.5182262307403,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-29,1582.033070274333,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-30,1583.990980834273,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-12-31,1587.4145058248778,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-01,1660.3081548290118,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-02,1690.0413378429162,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-03,1610.2780909432543,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-04,1661.4768883878241,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-05,1660.2743329575349,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-06,1652.010522360015,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-07,1650.3532506576475,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-08,1765.8549417512215,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-09,1733.509958662157,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-10,1753.6565201052238,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-11,1741.8414130026308,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-12,1608.4216459977451,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-13,1609.4663660278093,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-14,1567.7978203682826,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-15,1597.3844419391207,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-16,1620.9958662157082,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-17,1606.456219466366,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-18,1550.7215332581734,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-19,1563.7692596768134,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-20,1565.2010522360015,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-21,1561.6196918451708,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
